city,state,country,population,zip_code
Devarapalle,Andhra Pradesh,India,14796,32466
Merate,Lombardy,Italy,14796,19550
Souto Soares,Bahia,Brazil,14795,63062
Palod,Kerala,India,14795,45394
Citta Sant'Angelo,Abruzzo,Italy,14795,70031
Baguley,Manchester,United Kingdom,14794,71550
Stony Point,New York,United States,14793,19487
Shuichecun,Guangdong,China,14792,65084
Kapiri Mposhi,Central,Zambia,14792,85809
Bensville,Maryland,United States,14792,40931
Deblin,Lubelskie,Poland,14791,95291
Lapy,Podlaskie,Poland,14790,89220
Harsefeld,Lower Saxony,Germany,14789,21366
Ezzhiliga,Rabat-Sale-Kenitra,Morocco,14788,41863
Sortavala,Kareliya,Russia,14787,38329
Araputanga,Mato Grosso,Brazil,14786,73818
Itamonte,Minas Gerais,Brazil,14786,65123
Konina,Sikasso,Mali,14786,51371
Fiadanana,Antananarivo,Madagascar,14784,68766
Lampa,Puno,Peru,14780,70325
Dubovka,Volgogradskaya Oblast,Russia,14779,50241
Le Raincy,Ile-de-France,France,14778,11676
Oulad Dahmane,Medea,Algeria,14777,15282
Armagh,"Armagh City, Banbridge and Craigavon",United Kingdom,14777,36222
Greensburg,Pennsylvania,United States,14777,71303
Sanquelim,Goa,India,14776,23376
Morris,Illinois,United States,14775,75129
Sitio do Quinto,Bahia,Brazil,14773,19431
Verrieres-le-Buisson,Ile-de-France,France,14772,43370
Laterza,Puglia,Italy,14771,11937
Huckeswagen,North Rhine-Westphalia,Germany,14770,34601
Marlow,Buckinghamshire,United Kingdom,14770,11067
Tabatinga,Sao Paulo,Brazil,14769,88937
Kamrawan,Bihar,India,14768,23472
Curtorim,Goa,India,14766,65015
Harhorin,Ovorhangay,Mongolia,14765,43147
Hasanpur Juned,Bihar,India,14764,64654
Lummen,Flanders,Belgium,14762,71808
Chitila,Ilfov,Romania,14762,62334
Bo'ness,Falkirk,United Kingdom,14760,95667
Obanazawa,Yamagata,Japan,14760,15196
Diankabou,Mopti,Mali,14760,69600
Tavares,Paraiba,Brazil,14759,97052
Fameck,Grand Est,France,14759,97960
Cherupazhasshi,Kerala,India,14759,89417
Lebanon,New Hampshire,United States,14759,40593
Hirono,Iwate,Japan,14757,75059
Ludus,Mures,Romania,14757,80795
Cumpana,Constanta,Romania,14757,54401
Penrith,Cumbria,United Kingdom,14756,41593
Maqat,Atyrau,Kazakhstan,14756,20461
Matungao,Lanao del Norte,Philippines,14756,45690
Tiltil,Region Metropolitana,Chile,14755,78923
Worthington,Ohio,United States,14754,31826
Uhingen,Baden-Wurttemberg,Germany,14753,24553
Lockhart,Florida,United States,14753,63165
El Ateuf,Ghardaia,Algeria,14752,67454
Briniamaro,Atacora,Benin,14751,16959
Romilly-sur-Seine,Grand Est,France,14751,52715
Balham,Wandsworth,United Kingdom,14751,39379
Vohipeno,Fianarantsoa,Madagascar,14751,32674
Antioch,Illinois,United States,14751,19559
Pincourt,Quebec,Canada,14751,42252
Mozarlandia,Goias,Brazil,14750,36104
Whitefish Bay,Wisconsin,United States,14750,10551
Teignmouth,Devon,United Kingdom,14749,75669
Perunkolattur,Tamil Nadu,India,14749,16607
Sinmperekou,Alibori,Benin,14748,86639
Sasso Marconi,Emilia-Romagna,Italy,14747,52973
Masalli,Masall,Azerbaijan,14746,39858
Entre Rios de Minas,Minas Gerais,Brazil,14746,49367
Danilov,Yaroslavskaya Oblast,Russia,14746,88908
Hammonton,New Jersey,United States,14746,69851
Ijra,Bihar,India,14745,66536
Banbridge,"Armagh City, Banbridge and Craigavon",United Kingdom,14744,89584
Eshowe,KwaZulu-Natal,South Africa,14744,28570
Cocorna,Antioquia,Colombia,14743,94585
Punata,Cochabamba,Bolivia,14742,45938
Garhpura,Bihar,India,14741,86455
San Juan del Sur,Rivas,Nicaragua,14741,61798
Tredegar,Blaenau Gwent,United Kingdom,14740,69718
Larkhall,South Lanarkshire,United Kingdom,14740,64969
Boula'wane,Casablanca-Settat,Morocco,14740,91839
Chatham,Illinois,United States,14740,93084
Cecil,Pennsylvania,United States,14740,92537
Mississippi Mills,Ontario,Canada,14740,55820
Vaddapalli,Andhra Pradesh,India,14737,43218
Youdiou,Mopti,Mali,14737,19990
Burshtyn,Ivano-Frankivska Oblast,Ukraine,14737,22778
Bodmin,Cornwall,United Kingdom,14736,50140
Andurkonam,Kerala,India,14736,97448
Tepetzintla,Veracruz,Mexico,14736,61606
Breukelen,Utrecht,Netherlands,14736,79344
Pilar,Cordoba,Argentina,14735,85012
Deming,New Mexico,United States,14735,69871
Bailleul,Hauts-de-France,France,14734,92142
Labiod Medjadja,Chlef,Algeria,14733,38940
Sakha,Kafr ash Shaykh,Egypt,14733,98873
Guilford,Pennsylvania,United States,14733,98956
Rio Negro,Los Lagos,Chile,14732,39590
Sullivan,New York,United States,14732,61517
Pindai,Bahia,Brazil,14731,77145
Tsimlyansk,Rostovskaya Oblast,Russia,14731,39297
Chaabat el Leham,Ain Temouchent,Algeria,14730,37866
Langwedel,Lower Saxony,Germany,14729,43991
Joubb Jannine,Beqaa,Lebanon,14728,11907
Selb,Bavaria,Germany,14727,90514
Roseau,Saint George,Dominica,14725,35938
Loreto,Baja California Sur,Mexico,14724,86479
Sogutlu,Sakarya,Turkey,14724,15810
Neqab,Khorasan-e Razavi,Iran,14723,65600
Matsushige,Tokushima,Japan,14723,68612
Bou Djeniba,Beni Mellal-Khenifra,Morocco,14722,47705
Ramsey,New Jersey,United States,14722,97668
Baladharmaram,Andhra Pradesh,India,14721,27615
Muy Muy,Matagalpa,Nicaragua,14721,85475
Prestwick,South Ayrshire,United Kingdom,14720,76273
San Gwann,San Gwann,Malta,14720,96356
Alagoinha,Bahia,Brazil,14718,58703
Hickory Hills,Illinois,United States,14718,69125
Riofrio,Valle del Cauca,Colombia,14716,59681
Varnsdorf,Ustecky Kraj,Czechia,14716,87857
Oulad Driss,Marrakech-Safi,Morocco,14716,42567
Hilchenbach,North Rhine-Westphalia,Germany,14714,14418
Sahit,Bihar,India,14714,52164
Mediouna,Casablanca-Settat,Morocco,14712,11986
Troon,South Ayrshire,United Kingdom,14710,48593
Chhapia,Bihar,India,14710,43983
Tarumirim,Minas Gerais,Brazil,14709,97718
Paola,Calabria,Italy,14709,41989
Androrangavola,Fianarantsoa,Madagascar,14709,56887
Uch-Korgon,Batken,Kyrgyzstan,14708,33442
San Ramon,Junin,Peru,14708,21243
Lockhart,Texas,United States,14708,10132
Triunfo,Pernambuco,Brazil,14705,25556
Purisima de la Concepcion,Cordoba,Colombia,14705,74397
Shimubi,Hainan,China,14702,93290
Santa Croce sull' Arno,Tuscany,Italy,14702,69440
Tiszaujvaros,Borsod-Abauj-Zemplen,Hungary,14700,43855
Hima,Kasese,Uganda,14700,19839
Tinchlik,Fargona,Uzbekistan,14700,69064
Tirumalaiyampalaiyam,Tamil Nadu,India,14699,95922
Cesis,Cesis,Latvia,14699,53220
Koteshwar,Karnataka,India,14697,89364
Tapes,Rio Grande do Sul,Brazil,14695,51078
Villa Alegre,Maule,Chile,14695,98742
Surbo,Puglia,Italy,14695,76430
Ospitaletto,Lombardy,Italy,14694,11265
Nishinoomote,Kagoshima,Japan,14694,32807
Onklou,Donga,Benin,14693,59514
Tlaxcala,Tlaxcala,Mexico,14692,66316
Saint-Jean-de-Luz,Nouvelle-Aquitaine,France,14690,85501
Lope de Vega,Northern Samar,Philippines,14690,74817
Kirchhatten,Lower Saxony,Germany,14688,42229
Kodangipatti,Tamil Nadu,India,14688,42748
Baie du Tombeau,Pamplemousses,Mauritius,14687,51273
Kurumbalur,Tamil Nadu,India,14686,64784
Cedar Lake,Indiana,United States,14686,28090
Alexander City,Alabama,United States,14686,23374
Abensberg,Bavaria,Germany,14685,56116
Collecchio,Emilia-Romagna,Italy,14684,90911
Ankadinandriana,Antananarivo,Madagascar,14684,69133
Coremas,Paraiba,Brazil,14683,77929
Paramati,Tamil Nadu,India,14683,87338
La Carolina,Andalusia,Spain,14681,67278
Rubiera,Emilia-Romagna,Italy,14680,46462
Pattensen,Lower Saxony,Germany,14678,69624
Lognes,Ile-de-France,France,14678,60141
Montabaur,Rhineland-Palatinate,Germany,14677,90447
Melksham,Wiltshire,United Kingdom,14677,95600
Ngoulemakong,Sud,Cameroon,14675,20655
Mahatsinjo,Mahajanga,Madagascar,14675,51864
Enyelle,Likouala,Congo (Brazzaville),14674,16410
Caiaponia,Goias,Brazil,14673,70388
Broadlands,Virginia,United States,14673,95917
Chirpan,Stara Zagora,Bulgaria,14672,43678
Ranomafana,Toamasina,Madagascar,14672,32970
Thuin,Wallonia,Belgium,14671,69951
Wibsey,Bradford,United Kingdom,14671,28507
Corridonia,Marche,Italy,14670,71686
Sterling,Illinois,United States,14670,28235
Manantheri,Kerala,India,14667,57683
Bellaa,Setif,Algeria,14666,88399
Bere,Tandjile,Chad,14666,77151
Pudur,Tamil Nadu,India,14665,86118
Navashino,Nizhegorodskaya Oblast,Russia,14664,19397
Lakeland North,Washington,United States,14664,39655
Esbiaat,Marrakech-Safi,Morocco,14662,75446
Malvik,Trndelag,Norway,14662,53639
Las Guaranas,Cibao Nordeste,Dominican Republic,14661,28830
Santa Marta de Tormes,Castille-Leon,Spain,14661,18014
Kushimoto,Wakayama,Japan,14661,71731
Slobozhanske,Dnipropetrovska Oblast,Ukraine,14661,53061
Condoto,Choco,Colombia,14660,78752
Dzuunmod,Tov,Mongolia,14660,31859
Kysucke Nove Mesto,Zilina,Slovakia,14660,95589
Thonotosassa,Florida,United States,14660,86758
Kamalganj,Uttar Pradesh,India,14659,28908
Madagh,Oriental,Morocco,14659,38693
St. Clair,Ontario,Canada,14659,99418
Rasulpur Dhuria,Bihar,India,14658,23603
Owosso,Michigan,United States,14658,88876
Black Forest,Colorado,United States,14658,53702
Gladeview,Florida,United States,14657,28345
Zlotoryja,Dolnoslaskie,Poland,14656,32687
Greendale,Wisconsin,United States,14656,39581
Capinopolis,Minas Gerais,Brazil,14655,47393
Mmopone,Kweneng,Botswana,14655,18292
Djanet,Djanet,Algeria,14655,13448
At-Bashy,Naryn,Kyrgyzstan,14655,29628
Malo,Veneto,Italy,14654,24678
Alginet,Valencia,Spain,14652,48815
Kujukuri,Chiba,Japan,14652,36477
Mulakad,Kerala,India,14651,63826
Boguszow-Gorce,Dolnoslaskie,Poland,14648,76750
Kaonke,Punjab,India,14646,99526
Sprimont,Wallonia,Belgium,14645,30010
Saint-Brevin-les-Pins,Pays de la Loire,France,14645,75146
Chippewa Falls,Wisconsin,United States,14643,68133
Ferrier,Nord-Est,Haiti,14642,50643
Vubatalai,Tamil Nadu,India,14640,56687
Mangamila,Antananarivo,Madagascar,14640,57993
Mineral del Monte,Hidalgo,Mexico,14640,35078
Goure,Zinder,Niger,14639,75708
Sisa,San Martin,Peru,14639,27270
Targuist,Tanger-Tetouan-Al Hoceima,Morocco,14638,91580
Tecpan de Galeana,Guerrero,Mexico,14638,16263
Limanowa,Maopolskie,Poland,14635,30752
Tiruvasaladi,Tamil Nadu,India,14634,21621
Woudrichem,Noord-Brabant,Netherlands,14634,52369
Mahinog,Camiguin,Philippines,14634,82592
Bilozerske,Donetska Oblast,Ukraine,14634,70267
Sepidan,Fars,Iran,14633,96873
Terrace,British Columbia,Canada,14633,24245
Ternitz,Niederosterreich,Austria,14632,42676
Combita,Boyaca,Colombia,14632,75796
Montmagny,Ile-de-France,France,14632,62504
Farnborough,Bromley,United Kingdom,14632,11352
Rosa,Veneto,Italy,14632,15243
Sigulda,Sigulda,Latvia,14632,55333
Rio Piracicaba,Minas Gerais,Brazil,14631,69484
Teixeira,Paraiba,Brazil,14631,94926
Langenselbold,Hesse,Germany,14630,59974
Djebahia,Bouira,Algeria,14630,94740
Pinia,Mopti,Mali,14630,75702
Misaki,Osaka,Japan,14629,31310
Beacon,New York,United States,14629,27439
Hutchinson,Minnesota,United States,14629,11254
Hanover,New Jersey,United States,14627,14286
Mercier,Quebec,Canada,14626,83545
Nea Alikarnassos,Kriti,Greece,14624,79543
Abony,Pest,Hungary,14624,24992
Goulmima,Draa-Tafilalet,Morocco,14624,72052
Bohodukhiv,Kharkivska Oblast,Ukraine,14624,19723
Lumino,Busia,Uganda,14624,75183
Dahe,Mono,Benin,14622,24590
Immenstadt im Allgau,Bavaria,Germany,14622,91174
Alanganallur,Tamil Nadu,India,14622,55002
Port Glasgow,Inverclyde,United Kingdom,14620,56779
Rafina,Attiki,Greece,14620,22016
Magione,Umbria,Italy,14620,58183
Zontecomatlan de Lopez y Fuentes,Veracruz,Mexico,14620,14744
Vredefort,Free State,South Africa,14619,56357
Neubiberg,Bavaria,Germany,14618,40239
Ringwood,Hampshire,United Kingdom,14618,22922
Boston,Davao Oriental,Philippines,14618,10084
Cambuci,Rio de Janeiro,Brazil,14616,62147
Guajiquiro,La Paz,Honduras,14616,70631
Kankipadu,Andhra Pradesh,India,14616,25373
Negresti-Oas,Satu Mare,Romania,14616,15156
Bar-le-Duc,Grand Est,France,14615,48551
Neutraubling,Bavaria,Germany,14614,48463
Wilsdruff,Saxony,Germany,14613,59305
Vemuluru,Andhra Pradesh,India,14613,19653
Roncade,Veneto,Italy,14613,98334
Kiri,Mai-Ndombe,Congo (Kinshasa),14612,33068
Paliaturutu,Kerala,India,14611,44787
Bartabwa,Baringo,Kenya,14611,35673
Huasuo,Gansu,China,14610,26155
Castellammare del Golfo,Sicilia,Italy,14610,10570
Batuan,Masbate,Philippines,14610,91736
Naranja,Florida,United States,14610,67492
Anzegem,Flanders,Belgium,14609,21769
Hatten,Lower Saxony,Germany,14608,48921
Tullamore,Offaly,Ireland,14607,29075
Ispir,Erzurum,Turkey,14607,99589
Monticello,Minnesota,United States,14607,20301
Tornesch,Schleswig-Holstein,Germany,14606,81043
Montesson,Ile-de-France,France,14606,65001
Lowton,Wigan,United Kingdom,14605,58359
Carmignano,Tuscany,Italy,14605,65119
Suo-Oshima,Yamaguchi,Japan,14605,79191
Rio Branco,Cerro Largo,Uruguay,14604,26347
Fraser,Michigan,United States,14604,32053
Sinha,Bihar,India,14603,69056
Ayt 'Attou ou L'Arbi,Marrakech-Safi,Morocco,14603,78028
Swansea,Illinois,United States,14603,68688
Sveti Ivan Zelina,Zagrebacka Zupanija,Croatia,14602,68450
Arroio dos Ratos,Rio Grande do Sul,Brazil,14601,22304
Cabarete,Cibao Norte,Dominican Republic,14600,41403
Uzun,Surxondaryo,Uzbekistan,14600,86418
Chigwell,Essex,United Kingdom,14599,47424
Cay,Afyonkarahisar,Turkey,14599,69924
Nova Ponte,Minas Gerais,Brazil,14598,84047
Nesebar,Burgas,Bulgaria,14596,96235
Lauda-Konigshofen,Baden-Wurttemberg,Germany,14596,31178
Great Bend,Kansas,United States,14596,27821
Masmouda,Tanger-Tetouan-Al Hoceima,Morocco,14594,91951
Holalagondi,Andhra Pradesh,India,14593,10714
Falls Church,Virginia,United States,14593,84767
Jedrzejow,Swietokrzyskie,Poland,14592,92328
Red Bluff,California,United States,14592,82882
Guastalla,Emilia-Romagna,Italy,14591,34124
Plochingen,Baden-Wurttemberg,Germany,14590,99584
Satyun,Rajasthan,India,14590,96951
Villa Yapacani,Santa Cruz,Bolivia,14589,27511
Yokoshiba,Chiba,Japan,14589,64588
Kelamangalam,Tamil Nadu,India,14588,87567
Dinmanpur,Bihar,India,14588,21215
Palmeirais,Piaui,Brazil,14587,21851
Sangota,Khyber Pakhtunkhwa,Pakistan,14587,43550
Granados,Baja Verapaz,Guatemala,14585,65958
Cajetina,Cajetina,Serbia,14585,11178
Saint-Genis-Pouilly,Auvergne-Rhone-Alpes,France,14584,77942
Thillangeri,Kerala,India,14583,56314
Oulad Bou Rahmoun,Beni Mellal-Khenifra,Morocco,14583,94727
Tostado,Santa Fe,Argentina,14582,94684
Baligaon,Bihar,India,14582,41146
Gumushacikoy,Amasya,Turkey,14582,78260
Bilina,Ustecky Kraj,Czechia,14580,45303
Al Qbab,Beni Mellal-Khenifra,Morocco,14580,85676
Lucao,Chiayi,Taiwan,14579,64013
Alexandria,Minnesota,United States,14579,98220
Agios Athanasios,Lemesos,Cyprus,14578,99776
Zabkowice Slaskie,Dolnoslaskie,Poland,14578,95066
Aleksandrovka,Chuy,Kyrgyzstan,14577,98498
Severinia,Sao Paulo,Brazil,14576,11201
Cherryland,California,United States,14575,85547
Talya,Karnataka,India,14574,86087
Kanjikkovil,Tamil Nadu,India,14572,65103
Jitwarpur Nizamat,Bihar,India,14571,96142
Pineto,Abruzzo,Italy,14571,22664
Bou Salem,Jendouba,Tunisia,14571,79856
Tzaneen,Limpopo,South Africa,14571,78624
Lakkampatti,Tamil Nadu,India,14570,51456
Kuleshovka,Rostovskaya Oblast,Russia,14568,18664
Sassenberg,North Rhine-Westphalia,Germany,14566,62534
Palayad,Kerala,India,14566,76696
Akora,Madhya Pradesh,India,14566,20714
Edenburg,Free State,South Africa,14566,14312
Benfreha,Oran,Algeria,14565,30845
Paniem,Andhra Pradesh,India,14565,94686
Breza,"Bosnia and Herzegovina, Federation of",Bosnia and Herzegovina,14564,60703
Kottacheruvu,Andhra Pradesh,India,14564,45215
Andoain,Basque Country,Spain,14563,97564
Naivasha,Nakuru,Kenya,14563,51078
Qazyqurt,Turkistan,Kazakhstan,14563,46264
Jastrebarsko,Zagrebacka Zupanija,Croatia,14562,44484
Darpa,Bihar,India,14562,96857
Debar,Debar,North Macedonia,14561,52162
Essau,North Bank,"Gambia, The",14560,76991
Tiruppachur,Tamil Nadu,India,14560,89567
Clarkston,Georgia,United States,14560,98465
Key Biscayne,Florida,United States,14560,49794
San Francisco,Atlantida,Honduras,14559,39237
Relangi,Andhra Pradesh,India,14559,75294
Loviisa,Uusimaa,Finland,14557,78007
Ban San Phak Wan Luang,Chiang Mai,Thailand,14557,10367
Bijaipur,Madhya Pradesh,India,14555,23417
Caln,Pennsylvania,United States,14555,62328
Bicas,Minas Gerais,Brazil,14554,78910
Solila,Fianarantsoa,Madagascar,14553,16773
Ratzeburg,Schleswig-Holstein,Germany,14552,24205
Adekar Kebouche,Bejaia,Algeria,14552,65443
Halwara,Punjab,India,14551,97905
El Paisnal,San Salvador,El Salvador,14551,94117
Wilbraham,Massachusetts,United States,14551,64063
Pontivy,Bretagne,France,14547,57119
Iakora,Fianarantsoa,Madagascar,14547,43668
Talitsa,Sverdlovskaya Oblast,Russia,14547,92112
Reidsville,North Carolina,United States,14547,12770
Gundlapelle,Andhra Pradesh,India,14546,72537
Marofinaritra,Antsiranana,Madagascar,14546,54308
Les Sables-d'Olonne,Pays de la Loire,France,14545,47948
Merimandroso,Antananarivo,Madagascar,14545,60102
Nolensville,Tennessee,United States,14545,13606
Parlier,California,United States,14545,90214
Moultrie,Georgia,United States,14545,43025
Friedland,Lower Saxony,Germany,14544,60373
Edgewater,New Jersey,United States,14544,24388
Pindorama,Sao Paulo,Brazil,14542,92570
Ban Du,Chiang Rai,Thailand,14542,40920
Blidet Amor,Ouargla,Algeria,14540,45193
Narragansett,Rhode Island,United States,14540,25011
Australind,Western Australia,Australia,14539,41254
Jun Bel,Inner Mongolia,China,14538,68266
Ust'-Ordynskiy,Irkutskaya Oblast,Russia,14538,21106
Arbon,Thurgau,Switzerland,14537,31786
Bom Jesus do Galho,Minas Gerais,Brazil,14536,66852
Siswa,Bihar,India,14535,26944
Bakun,Benguet,Philippines,14535,83917
Siparia,Siparia,Trinidad and Tobago,14535,51164
Nagireddipalli,Andhra Pradesh,India,14534,86743
Rio Paranaiba,Minas Gerais,Brazil,14532,38715
Nafplio,Peloponnisos,Greece,14532,64251
Zaouiet Kounta,Adrar,Algeria,14531,78907
Ain Nouissy,Mostaganem,Algeria,14530,74506
Kusaha,Bihar,India,14530,45809
Falagueira,Lisboa,Portugal,14530,16844
Sarmin,Idlib,Syria,14530,97318
Kizhakkummuri,Kerala,India,14529,59864
Ban Kaeng,Chaiyaphum,Thailand,14529,86412
Burglengenfeld,Bavaria,Germany,14527,98867
Plerin,Bretagne,France,14527,47174
Thorpe Saint Andrew,Norfolk,United Kingdom,14526,55933
Kannamanayakkanur,Tamil Nadu,India,14526,23144
Pualas,Lanao del Sur,Philippines,14526,17649
Dargahan,Hormozgan,Iran,14525,46645
Cadaval,Lisboa,Portugal,14525,62674
Vitomirice,Peje,Kosovo,14523,22818
Moorestown-Lenola,New Jersey,United States,14523,46880
Ottweiler,Saarland,Germany,14522,70109
Sha Kok Mei,Hong Kong,Hong Kong,14522,47333
Pandhana,Madhya Pradesh,India,14522,64058
Herselt,Flanders,Belgium,14521,64575
Minignan,Denguele,Côte d’Ivoire,14521,35130
Salem Lakes,Wisconsin,United States,14521,36716
West Bradford,Pennsylvania,United States,14520,41297
Anapoima,Cundinamarca,Colombia,14519,29062
Munster,Hesse,Germany,14518,39492
Moston,Manchester,United Kingdom,14518,96861
Cayey,Puerto Rico,Puerto Rico,14518,66481
Middlesex,New Jersey,United States,14518,85724
Torokbalint,Pest,Hungary,14517,76377
Sonora,Mato Grosso do Sul,Brazil,14516,20567
Saint-Fargeau,Ile-de-France,France,14516,46806
Pakarya Harsidhi,Bihar,India,14516,84457
Tabuse,Yamaguchi,Japan,14515,79885
Reboucas,Parana,Brazil,14514,85191
Dieramana,Segou,Mali,14514,57674
Guachochi,Chihuahua,Mexico,14513,90415
Mbuyapey,Paraguari,Paraguay,14512,80482
Mosina,Wielkopolskie,Poland,14511,53127
Valea Lupului,Iasi,Romania,14510,33502
Chelsfield,Bromley,United Kingdom,14507,82193
Oria,Puglia,Italy,14507,60724
Quinapundan,Eastern Samar,Philippines,14507,88802
Aberdare,Rhondda Cynon Taff,United Kingdom,14506,16240
Suwasra,Madhya Pradesh,India,14505,96886
San Martin de Loba,Bolivar,Colombia,14504,58544
Farap,Lebap,Turkmenistan,14503,26640
Angus,Ontario,Canada,14503,42895
Turnov,Liberecky Kraj,Czechia,14502,21920
Nadisal,Karnataka,India,14502,89928
Gavinivaripalem,Andhra Pradesh,India,14502,90453
Surajpura,Bihar,India,14502,40643
Sadhoa,Bihar,India,14501,39227
Guanduqiao,Hunan,China,14500,33251
Kandela,Uttar Pradesh,India,14500,34238
Sokone,Fatick,Senegal,14500,70044
Oyam,Oyam,Uganda,14500,37723
West Lincoln,Ontario,Canada,14500,44973
Ceres,Santa Fe,Argentina,14499,18513
Yanhewan,Shaanxi,China,14499,53316
Ouled Sidi Brahim,Bouira,Algeria,14499,40225
Verona,Wisconsin,United States,14499,14379
Ludvika,Dalarna,Sweden,14498,21305
Mykolaiv,Lvivska Oblast,Ukraine,14498,41722
Tenente Portela,Rio Grande do Sul,Brazil,14497,87684
Agua Fria,Bahia,Brazil,14497,65429
San Gabriel,Carchi,Ecuador,14497,88437
Bois-Guillaume,Normandie,France,14497,86424
Lingal,Andhra Pradesh,India,14497,52476
Morton,South Gloucestershire,United Kingdom,14496,54253
Chinnavadampatti,Tamil Nadu,India,14494,30708
Poco das Trincheiras,Alagoas,Brazil,14493,74963
Niederzier,North Rhine-Westphalia,Germany,14493,37621
Lakho,Bihar,India,14493,40001
Santa Catalina,Ilocos Sur,Philippines,14493,24220
Barhni,Uttar Pradesh,India,14492,75122
Mount Vernon,Illinois,United States,14492,91757
Deysbrook,Liverpool,United Kingdom,14490,77907
Harduli,Madhya Pradesh,India,14490,47784
Ksibet el Mediouni,Monastir,Tunisia,14490,49070
Eberbach,Baden-Wurttemberg,Germany,14489,49150
Ahmed Rachedi,Mila,Algeria,14489,71262
Askim,Viken,Norway,14488,98372
Murra,Nueva Segovia,Nicaragua,14487,65544
Bothell East,Washington,United States,14487,37161
Araruna,Parana,Brazil,14485,31180
Thornbury,South Gloucestershire,United Kingdom,14485,91401
Olsberg,North Rhine-Westphalia,Germany,14481,28825
San Carlos,Antioquia,Colombia,14480,11017
Jasper,Alabama,United States,14480,30885
Babhangawan,Bihar,India,14479,56260
Fujisaki,Aomori,Japan,14478,20260
Mesa Geitonia,Lemesos,Cyprus,14477,64946
Eisenstadt,Burgenland,Austria,14476,56662
Barroquinha,Ceara,Brazil,14476,87393
Lotte,North Rhine-Westphalia,Germany,14476,47018
Cehegin,Murcia,Spain,14476,65099
Nawada,Bihar,India,14476,72306
Buggenhout,Flanders,Belgium,14475,39230
Eching,Bavaria,Germany,14475,34769
Brainerd,Minnesota,United States,14474,45214
Nampicuan,Nueva Ecija,Philippines,14471,42492
Qobustan,Bak,Azerbaijan,14470,73767
Haacht,Flanders,Belgium,14470,99043
Hopatcong,New Jersey,United States,14470,72473
Ocana,Castille-La Mancha,Spain,14469,98215
Chai Nat,Chai Nat,Thailand,14469,13687
Tachov,Plzensky Kraj,Czechia,14468,59135
Pilisvorosvar,Pest,Hungary,14468,74635
Douar Oulad Driss,Marrakech-Safi,Morocco,14468,83400
Lyzbice,Moravskoslezsky Kraj,Czechia,14467,81663
Pakala,Andhra Pradesh,India,14467,59704
Markacho,Jharkhand,India,14467,23834
Roh,Bihar,India,14467,18921
Tlayacapan,Morelos,Mexico,14467,38573
Oneonta,New York,United States,14467,47876
Huizucar,La Libertad,El Salvador,14465,14266
Szarvas,Bekes,Hungary,14464,47713
Khallikot,Odisha,India,14464,18985
Goshen,New York,United States,14463,32068
Tiruvalanjuli,Tamil Nadu,India,14460,18366
Sommacampagna,Veneto,Italy,14460,79384
Radovis,Radovis,North Macedonia,14460,40472
Plumtree,Matabeleland South,Zimbabwe,14459,13456
East Whiteland,Pennsylvania,United States,14459,94678
Ichikawamisato,Yamanashi,Japan,14458,22031
Lagunia Surajkanth,Bihar,India,14457,95675
Wilmington Island,Georgia,United States,14457,30026
Salida,California,United States,14457,50887
Ankaramena,Toliara,Madagascar,14456,38777
Yangasso,Segou,Mali,14456,52930
Lopik,Utrecht,Netherlands,14456,11660
Santo Domingo Xenacoj,Sacatepequez,Guatemala,14455,37151
Southgate,Enfield,United Kingdom,14454,34613
Tarlapalli,Andhra Pradesh,India,14454,75266
Srinagar,Bihar,India,14454,88744
Zayda,Draa-Tafilalet,Morocco,14454,64738
Larena,Siquijor,Philippines,14454,55777
Sopetran,Antioquia,Colombia,14453,95496
Raj,Moravskoslezsky Kraj,Czechia,14453,40702
Valenton,Ile-de-France,France,14453,98378
Santa Maria,Valparaiso,Chile,14452,87263
Shatrana,Punjab,India,14452,71804
Mansala,Andhra Pradesh,India,14452,23021
Jacarau,Paraiba,Brazil,14450,54001
Narahia,Bihar,India,14450,29092
Bara,West Bengal,India,14450,38915
Corinth,Mississippi,United States,14450,63323
Livingston,California,United States,14450,86037
Asagiri,Kumamoto,Japan,14448,61902
Brwinow,Mazowieckie,Poland,14448,25739
Masty,Hrodzyenskaya Voblasts,Belarus,14447,83012
Tavagnacco,Friuli Venezia Giulia,Italy,14447,83467
Skippack,Pennsylvania,United States,14443,23699
Romsey,Hampshire,United Kingdom,14442,12804
Lagoa,Azores,Portugal,14442,58904
Nether Providence,Pennsylvania,United States,14442,64596
Xintian,Guizhou,China,14441,59993
Alamo,California,United States,14441,74366
Verona,New Jersey,United States,14441,48343
Alloa,Clackmannanshire,United Kingdom,14440,21775
Dallas,Georgia,United States,14440,73012
Garmen,Blagoevgrad,Bulgaria,14439,57686
Eggenfelden,Bavaria,Germany,14439,65557
Ait Yaich,Tizi Ouzou,Algeria,14439,74236
Gernsbach,Baden-Wurttemberg,Germany,14438,55874
Vinci,Tuscany,Italy,14438,41586
Kemp Mill,Maryland,United States,14437,67009
Pahou,Atlantique,Benin,14436,10607
Jacaraci,Bahia,Brazil,14436,47386
Claxton Bay,Couva/Tabaquite/Talparo,Trinidad and Tobago,14436,89625
Barranco de Loba,Bolivar,Colombia,14435,72652
Sirmaur,Madhya Pradesh,India,14435,63112
Bokod,Benguet,Philippines,14435,47025
Ban Ao Nang,Krabi,Thailand,14435,73492
Rauch,Buenos Aires,Argentina,14434,20223
